"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 00B7","(2013-1-1)AAL1结构化24: 时隙号：1,数据类型：话音,记录条数：4,记录字节数：1020864",""," 数量：94656字节, 比例：0.00%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 00B7","(2013-1-1)AAL1结构化24: 时隙号：2,数据类型：话音,记录条数：4,记录字节数：2033664",""," 数量：94656字节, 比例：0.00%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 00B7","(2013-1-1)AAL1结构化24: 时隙号：3,数据类型：话音,记录条数：3,记录字节数：1049600",""," 数量：94656字节, 比例：0.00%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 00B7","(2013-1-1)AAL1结构化24: 时隙号：7,数据类型：未知报文,记录条数：25,记录字节数：101649835",""," 数量：94656字节, 比例：0.00%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 00B7","(2013-1-1)AAL1结构化24: 时隙号：15,数据类型：话音,记录条数：1,记录字节数：551936",""," 数量：94656字节, 比例：0.00%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 00B7","(2013-1-1)AAL1结构化24: 时隙号：19,数据类型：话音,记录条数：2,记录字节数：663156",""," 数量：94656字节, 比例：0.00%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 00B7","(2013-1-1)AAL1结构化24: 时隙号：23,数据类型：未知报文,记录条数：3,记录字节数：166547",""," 数量：94656字节, 比例：0.00%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 00B7","(2013-1-1)AAL1结构化24: 时隙号：23,数据类型：话音,记录条数：1,记录字节数：975852",""," 数量：94656字节, 比例：0.00%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 00BB","(2013-1-1)AAL1结构化24",""," 数量：6038496字节, 比例：0.02%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：1,数据类型：话音,记录条数：79,记录字节数：45892520",""," 数量：10764144字节, 比例：0.03%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：2,数据类型：话音,记录条数：61,记录字节数：40605852",""," 数量：10764144字节, 比例：0.03%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：3,数据类型：话音,记录条数：53,记录字节数：29253544",""," 数量：10764144字节, 比例：0.03%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：4,数据类型：话音,记录条数：48,记录字节数：22310468",""," 数量：10764144字节, 比例：0.03%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：5,数据类型：话音,记录条数：41,记录字节数：15757696",""," 数量：10764144字节, 比例：0.03%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：6,数据类型：话音,记录条数：26,记录字节数：8287352",""," 数量：10764144字节, 比例：0.03%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：7,数据类型：话音,记录条数：33,记录字节数：7621912",""," 数量：10764144字节, 比例：0.03%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：8,数据类型：话音,记录条数：31,记录字节数：7995984",""," 数量：10764144字节, 比例：0.03%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：9,数据类型：话音,记录条数：26,记录字节数：5743076",""," 数量：10764144字节, 比例：0.03%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：10,数据类型：话音,记录条数：25,记录字节数：5745420",""," 数量：10764144字节, 比例：0.03%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：11,数据类型：话音,记录条数：28,记录字节数：7578168",""," 数量：10764144字节, 比例：0.03%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：12,数据类型：话音,记录条数：25,记录字节数：5876388",""," 数量：10764144字节, 比例：0.03%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：13,数据类型：话音,记录条数：27,记录字节数：6544624",""," 数量：10764144字节, 比例：0.03%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：14,数据类型：话音,记录条数：24,记录字节数：6467352",""," 数量：10764144字节, 比例：0.03%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：15,数据类型：话音,记录条数：24,记录字节数：5416752",""," 数量：10764144字节, 比例：0.03%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：16,数据类型：话音,记录条数：30,记录字节数：7764480",""," 数量：10764144字节, 比例：0.03%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：17,数据类型：话音,记录条数：21,记录字节数：5926976",""," 数量：10764144字节, 比例：0.03%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：18,数据类型：话音,记录条数：24,记录字节数：10597376",""," 数量：10764144字节, 比例：0.03%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：19,数据类型：话音,记录条数：43,记录字节数：20757188",""," 数量：10764144字节, 比例：0.03%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：20,数据类型：话音,记录条数：46,记录字节数：20273728",""," 数量：10764144字节, 比例：0.03%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：21,数据类型：话音,记录条数：69,记录字节数：35420832",""," 数量：10764144字节, 比例：0.03%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：22,数据类型：话音,记录条数：64,记录字节数：38487460",""," 数量：10764144字节, 比例：0.03%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 35955092998字节, 比例: 26.55%","AAL1数量: 11589097028字节, 比例: 32.23%","0000: 0083","(2013-1-1)AAL1结构化24: 时隙号：23,数据类型：话音,记录条数：72,记录字节数：52255392",""," 数量：10764144字节, 比例：0.03%","",""
